,pile,doc,text
0,3,29157,"This document has been created to describe a concept that may be of use in a variety of fields.
It should be considered a general concept only and is subject to change.

This CPAN/POD version of the document,
first published in December 2004 at http://ali.as/devel/threatnetwork.html,
has been released to independantly timestamp and archive the concept and proposal in case of future patent-related issues by companies and to attempt to keep the core idea available to all.

On the Internet there exists an increasing number of different ways in which hosts are being misused or abused.
Likewise there is also an increasing number of ways in which these known-bad hosts are being identified.
Most of these occur in the process of a particular task,
such as checking an email message for spam status.

As these hosts are identified,
their identify is transmitted across to internet to members of threat networks.
The most common of these are the various email ""black lists"",
most of which use DNS or some other method to publish lists of known-bad ips or ip ranges.
Mail processing services submit requests to a DNS server storing these lists to determine if a particular host contacting them is a known spammer.

This draft specification describes a system which would be used to identify a specific category of these bad ips,
hosts that can be considered ""Active Threats"".
An Active Threat is a host that is currently engaged in anti-social,
damaging or criminal behaviour,
such as actively sending out spam or viruses.
This specification is NOT intended to deal with long-term offenders,
as they are addressed by a number of current systems.

If applied to long term offenders,
hosts would be registered as an Active Threat when they commence their anti-social behaviour,
and fall off any list during periods in which they are not conducting this behaviour.

The general intent is to deal with only those hosts that are actively engaged in damaging behaviour,
whether or not they are long term offenders or new offenders.
And to deal with the hosts as soon as possible,
ideally within a few seconds.

The ThreatNet concept is specifically intended to address active and transient threats.
If a Verified Threat is detected at time $t,
other members of the same Threat Network should start to recieve notification before time $t + 1 (within 1 second).
Full propagation to all members,
and any subsequent responses,
should be complete within by $t + 60 (within 1 minute).

Within a second of a host being detected conducting some anti-social behaviour,
the member should be able to confirm this behaviour and the host ip responsible for it,
and classify the host as a Verified Threat,
issuing a message into a Threat Network.
Notification to all members of the Threat Network and any other linked networks should occur as quickly as the Internet and Threat Network itself is able to spread this information.
Any members who wish to respond to the threat,
or are able to neutralise it,
should be able to act within a few seconds and certainly within a minute.

For the example of spam,
this would allow newly compromised hosts (""zombies"") acting as spam or virus agents that are not on current block lists to be dealt with and blocked before they are able to send significant amounts of spam.
This could also allow for compromised hosts on dynamic IPs to be blocked each time they move IPs without significantly damaging subsequent users of the IPs,
or needing to block the entire IP range.
This could also help to reduce the impact of new and fast-moving viruses,
as any newly infected computers appearing within properly managed ISPs could be disconnected and disabled before they are able to make a significant number of attempts to reproduce.

The implementation should be as flexible as possible and integrate with many other current systems,
or provide a way for developers to do this integration themselves.
Although the initial idea for this concept was as an anti-spam system,
it should not be considered solely"
1,17,4551,"Q:

Find and print lines that have column value repeated n times

I have a file:
scaffold_0      11498
scaffold_0      11501
scaffold_0      11728   ""RHOH""
scaffold_0      12144   ""RHOH""
scaffold_0      20708   ""RHOH""
scaffold_0      23579   ""RHOH""
scaffold_0      130818
scaffold_0      200485  ""NSUN7""
scaffold_0      209928  ""NSUN7""
scaffold_0      212965  ""NSUN7""
scaffold_0      214055  ""APBB2""
scaffold_0      223404
scaffold_0      223686  ""AP"
2,23,23258,"        Massachusetts.   A  trucker delivered  the goods,  in  a shipping          container,  to port in  Charlestown, Massachusetts.   Acting on a          tip, the U.S. Customs Service ordered the container held at port.          Because this delay  threatened to undercut  the letter of  credit          that Afromed  had produced  to pay for  the goods,  the appellant          flew to Malta and met with Sullivan.                    At about the same time, the appellant instructed P&L to          discharge  the computer  equipment in  Antwerp,  Belgium (a  port          through  which it  already  was  scheduled to  pass  en route  to"
3,3,17230,"The Times winners are Clifford J. Levy, Ellen Barry, Agnes Dherbeys, Adam B. Ellick. The staff of NYTimes.com won for best coverage of breaking news for its Haitian earthquake reporting. “60 Minutes” earned two awards. Lesley Stahl’s two-part series won best TV documentary on international affairs for the Middle East conflicts in Israel-Palestine and Iraq. Correspondent Scott Pelley won for best reporting involving human rights for a segment bout a canal on the U.S.-Mexican border that has claimed the lives of 550 illegal immigrants. PLUS: Many more winners.

IMMEDIATE RELEASE

"
4,23,4569,"In the art of article handling, various types of sorting devices have been provided heretofore. For example, switches have been provided for receiving articles from two or more input conveyors and for converging the articles, so that all articles are directed to a single output conveyor. Other switches have been designed to receive articles from a single input conveyor and to divert the articles so that the articles are selectively directed to one of two or more output conveyors. Still other sorting switches have operated to receive articles from a pair of input conveyors and to direct articles to a pair of corresponding output conveyors while selectively combining certain articles by directing them to a third output conveyor.
A number of devices have been developed which provide horizontal switching and sorting capabilities. Examples of such devices are the sorting switches disclosed and claimed in U.S. Pat. No. 3,986,596 issued Oct. 19, 1976 to D. R. Hamilton, U.S. Pat. No. 3,987,888 issued Oct. 26, 1976 to I. E. Wickam and U.S. Pat. No. 4,508,206 issued Apr. 2, 1985 to J. W. Moore. The foregoing patents, all of which are assigned to the Assignee hereof, disclose and claim sorting switches that constitute important contributions to the art of sorting switches and article handling. These switches are, however, primarily adapted to handle articles comprising integral units, such as boxes or tightly wrapped packages and are not particularly suitable for handling or sorting articles comprising loosely bound bundles of papers, letters or magazines.
Currently, the handling and sorting of loosely bound bundles of papers, letters and magazines is largely done by hand. For example, mail is delivered to post offices in sacks of loosely bound bundles of papers, letters and magazines. The bundles are removed from the sacks and manually delivered to individual work stations where the individual pieces are sorted. This process is labor intensive and time consuming. Heretofore the process of delivering the bundles of mail to the individual work stations has not been mechanized or automated due to the lack of a switch adapted to and suitable for sorting and switching loosely bound bundles of papers, letters and magazines.
The present invention comprises a novel sorting switch which fulfills the foregoing and other requirements long associated with the prior art. In accordance with the broader aspects of the invention, a plurality of pallets are mounted for sequential movement around a closed course incorporating an upper article sorting portion and a lower return portion. The upper sorting portion of the closed course comprises diverging article conveying paths. The diverging article conveying paths are defined by guide members, and the pallets may be selectively switched to travel along the article conveying paths defined by the guide members. The lower portion of the closed course comprises a return section wherein return guide members align the pallets along a central path corresponding to the location of a switching mechanism.
In accordance with the more specific aspects of the invention, a closed course is defined by a pair of parallel roller chains. Each pallet is slideably supported on a pair of parallel tubular pallet support members extending between and connected to the roller chains. Each pallet comprises an upper article bearing surface and arcuate lower side surfaces. Each pair of tubular pallet supports is positioned relative to the adjacent pairs of tubular pallet supports such that the sides of each pallet are maintained in substantially abutting relationship with the sides of each adjacent pallet as the pallets move through the closed course. Consequently, there are no gaps between the pallets through which a loose paper, letter or magazine might fall. Moreover, the arcuate lower side portions of the pallets allow the pallets to remain in constant contact as the pallets travel from the upper article sorting portion of the switch to the lower return portion.
Knife edge conveyors are used to load and unload bundles of loosely fastened papers, letters and magazines to and from the article sorting switch. The knife edge conveyors enable the sorting switch to be loaded and unloaded at substantially the same vertical elevation as the upper article sorting portion of the switch. Thus, loose bundles of papers, letters and magazines may be conveyed and switched without being subjected to any substantial vertical drops. The absence of any substantial vertical drops minimizes the number of bundles that are broken or fall apart and consequently reduces the amount of labor required to collect and rebundle loose pieces.
The present invention provides numerous advantages over the sorting switches of the prior art. The present invention provides a means of mechanizing the handling of loosely fastened bundles of papers, letters and magazines which, prior to the present invention, required the expenditure of significant labor. Another advantage of the present invention is the capability of switching and sorting loosely fastened bundles of papers, letters and magazines without subjecting the bundles to any substantial vertical drops, thereby minimizing the number of bundles broken, and the number of loose pieces requiring rebundling. Still another advantage of the present invention is the handling of articles comprising loosely bundled papers, letters and magazines in an"
5,24,28520,"



Remember this guy?

Thor: Hey Josh, Thor Wood founder of SnapShyft. How are ya?





During our last call-in show, Thor wowed us with his 30-second elevator pitch. He wanted to be on the show so bad that he called over 200 times until he got through. Now that’s a superfan. And when he was talking to me on the phone, he crushed it.

Now, let’s see how Thor does in front of five hungry VCs... in the pitch room.

From Gimlet this is The Pitch. I’m Josh Muccio.

Our investors today

I’m Charles Hudson

Charles started Precursor Ventures, where he’s invested $45 million in over 100 startups to date.

I’m Sarah Downey

Sarah’s a partner at Accomplice and they’ve invested $600 million in over 200 startups so far, one example, a company called Draftkings.

I’m Michael Hyatt

Michael built and sold two software companies for over $500 million dollars and now he invests for himself.

I’m Jillian Manus

Jillian is an angel investor and a partner at Structure Capital, where they’ve invested $98 million in high-profile startups like Uber.

I’m Phil Nadel

Phil companies that sold for hundreds of millions of dollars. Now he manages Forefront Venture Partners, one of the largest syndicates on AngelList.





The pitch for SnapShyft... is coming up. In just a moment.





Alright, here we go.

Sarah: Your name is Thor?

Jillian: Hi. Thor?

Thor: Yes, ma’am.

Sarah: You look like a Thor.

Jillian: I love that name!

Michael: Okay Thor the mighty.

Thor: My name’s Thor Wood. I’m the founder and CEO of SnapShyft. So a priest, a rabbi and a nun are sitting in a restaurant waiting for service. And in walks an elephant. They immediately recognize the danger of this situation and quickly vacate. This elephant in the room is the seemingly unsolvable problem that’s plaguing the food and beverage and hospitality industry. Staffing. You’ve got record high turnover, record low retention for workers and managers. It takes a month to replace an employee. And replacement costs alone are a staggering $150 billion each year in the US. Solutions that exist today have done nothing to mitigate the problems. So we created the SnapShyft labor marketplace. Our solution connects these understaffed food and beverage and hospitality operations with actual qualified industry pros on demand.

Think of Thor’s business is like a match-making service for restaurants and hotels who need to cover shifts... and workers looking to pick up extra work here and there.





Thor: We’re growing 45% month over month. And this is directly tied to our actual chart topping fulfilment rate that is three times the staffing industry average. And that's just part of the story. Because the workers love us. They're getting paid near instantly through us. Earning on average over 50% more than the national industry rate. Now I'm here today to raise $250,000 to help us move forward with additional pilots, and product enhancements for our target customer base. Thank you.

Jillian: Fantastic.

Michael: Okay, so I need a sous chef right away. Sell me on signing up.

Thor: So, it would take roughly 3 minutes for you to create an account, as a business. We validate you, that you exist with tax ID. And it’ll take you 30 seconds to post a shift. And immediately it’s broadcast in a radial pattern. So it’s going to hit the highest rated, that are the closest, that meet your requirements.

Michael: Smart. How fast can I get somebody? It’s 3 pm and I just heard my sous chef’s not gonna turn by 5. Can I, is that fast?

Thor: Our record’s 18"
6,13,12046,"What if We Were to Act Like a Family?

It began with the whole family returning from a week at camp. We walk in the door, and there’s no air conditioning. Suspecting that our 17 year old furnace and air conditioning units had finally died, we started calling around for quotes.

Since we had a maintenance plan in place with a company, where you pay a monthly amount in exchange for free parts and labour, we decided to give them a call. They sent a technician, who determines that the problem is with our thermostat, and he promptly replaces it, because that is covered under our plan.

Expensive fix

He still can’t get the furnace to read from the thermostat, however, and thus determines that the wire connecting the two would need replacing. That would NOT be covered, and I would have to pay $129.99 + tax for a service visit to install that. I declined, as I was not excited about paying this company any more money than we already were.

My husband and I were already discussing replacing both units, and would likely be getting a new line anyway with their installation. So we proceeded with the quotes on an entire HVAC system, all the while sweating it out for the next couple days, both because of the heat, and because of the looming decision before us.

Costly replacement

As we were pondering over the difference between one system for a few thousand dollars, and another for a few thousand dollars more, something happened. At our mid-week chapel meeting, we shared our burden.

“You don’t have air conditioning?”

I explained the situation.

“You know [my husband] has wired the whole furnace/air conditioning system for this chapel, don’t you? At the very least, we could lend you some box fans for the next few days until you get something in place.”

Helpful saints

I humbly agreed, and that very evening, this wonderful saint, her husband and son appeared at our door, box fan in hand. My husband showed her husband the furnace, and half an hour later, the whole system was fully functioning.

Apparently when the technician had installed the new thermostat, he neglected to properly place the furnace door, and reset the safety switch. The $129.99 + tax thermostat wire was moot, and, at least in the meanwhile, we had some time until we really had to replace both units.

Place we go or a holy body

It all got me thinking. This is why God Himself designed His people to be in fellowship. What would it look like, if instead of turning to Google or the Yellow Pages, we were to turn to each other? What if we were to act like a family, instead of like disparate members, naively under the impression that we are slave to the worldly systems?

I believe that Satan puts incredible effort into making us believe that we are poorer than we really are. What better way to do this, than to make us all think that church is just a place we go to, instead of one holy body that we are responsible for.

Financial repercussions

What would our bank accounts look like, if we could just stop with these maintenance plans, these insurance policies, these yearly contracts? What would our mental, emotional, and even physical health look like without all this nail biting and hair pulling? What would our spiritual health look like, if we actually had the faith in God that we say we do, instead of this “just-in-case-God-fails” mentality that has driven us to legal systems, contracts, terms, conditions, and protection policies?

It’s as if, as Christians, we receive this inheritance deposit cheque from God at our salvation, but we walk around with it in our back pocket, holding off on cashing it in. Then when problems strike, we desperately run off to the cash money store, for a filthy expensive cash loan, thinking we are broke.

Wealth mentality

Jesus named the two greatest commandments as loving God, with all your heart, mind, soul, and strength, and loving your neighbour as yourself (Luke 10:27). I believe He said this for our sake, rather than for His. With complete trust in God, and complete fellowship with others in His body, we are far richer and healthier than we settle for, even while still on this earth.

We just need to cash in that cheque.

Corinne March

Corinne is a wife, and a stay-at-home mom to three children"
7,13,18762,"Probability bounds analysis

Probability bounds analysis (PBA) is a collection of methods of uncertainty propagation for making qualitative and quantitative calculations in the face of uncertainties of various kinds. It is used to project partial information about random variables and other quantities through mathematical expressions. For instance, it computes sure bounds on the distribution of a sum, product, or more complex function, given only sure bounds on the distributions of the inputs. Such bounds are called probability boxes, and constrain cumulative probability distributions (rather than densities or mass functions).

This bounding approach permits analysts to make calculations without requiring overly precise assumptions about parameter values, dependence among variables, or even distribution shape. Probability bounds analysis is essentially a combination of the methods of standard interval analysis and classical probability theory. Probability bounds analysis gives the same answer as interval analysis does when only range information is available. It also gives the same answers as Monte Carlo simulation does when information is abundant enough to precisely specify input distributions and their dependencies. Thus, it is a generalization of both interval analysis and probability theory.

The diverse methods comprising probability bounds analysis provide algorithms to evaluate mathematical expressions when there is uncertainty about the input values, their dependencies, or even the form of mathematical expression itself. The calculations yield results that are guaranteed to enclose all possible distributions of the output variable if the input p-boxes were also sure to enclose their respective distributions. In some cases, a calculated p-box will also be best-possible in the sense that
the bounds could be no tighter without excluding some of the possible
distributions.

P-boxes are usually merely bounds on possible distributions. The bounds often also enclose distributions that are not themselves possible. For instance, the set of probability distributions that could result from adding random values without the independence assumption from two (precise) distributions is generally a proper subset of all the distributions enclosed by the p-box computed for the sum. That is, there are distributions within the output p-box that could not arise under any dependence between the two input distributions. The output p-box will, however, always contain all distributions that are possible, so long as the input p-boxes were sure to enclose their respective underlying distributions. This property often suffices for use in risk analysis and other fields requiring calculations under uncertainty.

History of bounding probability
The idea of bounding probability has a"
8,5,6800,"{2}} \vert  \int _{}^{}d^{2} \rho  e^{i\frac{\vec{q}_{\perp} \vec{ \rho} }{\hbar}} \left( e^{\frac{i}{\hbar} \Phi \left(  \vec{\rho}  \right) }-1 \right)  \vert ^{2},$$

where $ q_{\bot}= \left( q_{x},q_{y} \right)  $ is the transverse component of the momentum transmitted by scattered particle to an external field and

$$\Phi  \left(  \vec{\rho}  \right) =-\frac{1}{v} \int _{"
9,21,24805,"William Smellie (obstetrician)

William Smellie (5 February 1697 – 5 March 1763) was a Scottish obstetrician and medical instructor who practiced and taught primarily in London. One of the first prominent male midwives in Britain, he designed an improved version of the obstetrical forceps, established safer delivery practices, and through his teaching and writing helped make obstetrics more scientifically based. He is often called the ""father of British midwifery"".

Early life and education
Smellie was born on 5 February 1697 in the town of Lesmahagow, Scotland. He was the only child of Sara Kennedy (1657–1727) and"
